id,questions,category
3196,입금 후에 현금 영수증 발행 가능 하죠?,결제
3197,예. 그럼 현금 영수증 발행해 주세요.,결제
3198,방송에서 하고 있는 바지 주문 좀 하려고요.,주문
3199,지금 방송하는 청바지 물어볼 게 있어서요.,상품
3200,오오 사이즈가 이십육인가요?,상품
3201,입으면 늘어나겠죠?,상품
3202,네 주문해 주세요.,주문
3203,"네, 지금 방송하는 바지 주문하려는데요.",주문
3204,예. 사이즈가 어떻게 되죠?,상품
3205,그럼 스몰 사이즈로 주문할게요.,주문
3206,삼 사일 정도면 배송 된다는 거죠?,배송
3207,"타이어?렌털?때문에?전화드려봤습니다.
",주문
3208,"사이즈나?결제 여부는?어디서 확인하나요?
",상품
3209,"네, 지금 보고 있는 상품 주문하려고 하는데요.",주문
3210,"아, 이거 정사이즈 맞죠?",상품
3211,혹시 삼종 중에 검은색 빼고 다른 색상 두 개로 주문은 안 되나요?,상품
3212,"휴대용?전기면도기?주문하려고요.
",주문
3213,주문은 배송 받는 사람 본인이 해야하나요?,주문
3214,"네, 지금 방송 중인 상품 보고 전화드렸는데요.",상품
3215,제 정보로 등록해도 되나요?,고객정보
3216,"스쿼트머신 주문 좀 하고 싶어서요.
",주문
3217,"네, 지금 방송하는거 주문하려고요.",상품
3218,반품 시에 뭐 따로 돈이 들거나 하는건 없는거죠?,교환반품
3219,지금 방송 중인 상품 주문하려고요.,주문
3220,일시불해도 되나요?,결제
3221, 옷을 시켰는데 오늘 왔거든요.,배송
3222, 이제 구십오 해야되는데 백 사이즈 시켰는데요.,배송
3223, 교환해 줄 수 있으세요?,교환반품
3224,"네, 교환해주세요.",교환반품
3225, 아니요.  집에 사람이 없는데 오일 걸린다는거죠.,배송
3226, 바로 바꾸는고 그러는게 아니고요.,배송
3227, 아 복잡하네.  그럼 이걸 먼저 회수해 가고 그게 온다구요?,배송
3228, 이거는 그럼 저희 반품하지 말구요.,교환반품
3229,이거 교환을 하지 말고  그거를 다시 시키는 걸로 하고 이거를 반품하면 안 될까요? ,교환반품
3230,  어느 정도 걸려야지 주문 되는 거예요?,주문
3231, 아니 기한이 이게 반품  기한이 어느 정도냐구요.,교환반품
3232, 네 아 십오 일까지만 하면 되는 거예요?,교환반품
3233, 구십오를 하나 시키는 걸로 해주세요.,주문
3234, 구십오를 다시 보내주세요. ,주문
3235,"아 네, 주문 요청하려고요.",주문
3236,지금 방송하는 상품이 여성용이 맞지요?,상품
3237,"아 네, 미듐 사이즈로 주문해 주세요.",주문
3238,"네, 국민 카드로 결제할 건데요. 무이자 할부 되나요?",결제
3239,"아 네, 그럼 이번 주에 배송 가능 하겠네요?",배송
3240,"아 네, 빠른 배송 부탁드릴게요.",배송
3241,청바지 구매하고 싶거든요.,주문
3242,무조건 해야 되는 거예요?,고객정보
3243,"네, 지금 방송 중인 청바지 주문하려고요.",상품
3244,카드번호 전부 불러야 하나요?,결제
3245,방송하고 있는 바지 주문하고 싶어요.,주문
3246,칠만 구천 원이예요?,결제
3247,음 그럼 삼 개월로 해주세요.,결제
3248,지금 방송하는 청바지 주문하려고 연락드렸어요.,주문
3249,세 벌을 모두 준다는 건가요?,상품
3250,그럼 주문할게요.,주문
3251,"오후에 구스다운?방송했던 거?같은데요.?주문할 수 있나요?
",주문
3252,"그럼 블랙 칠칠 있나요?
",상품
3253,"무통장 입금되나요?
",결제
3254,네 거기 타이어 방송에 나오는 거 보고 전화했어요.,주문
3255,네 ㅇㅇ쇼핑에서 문자가 와서 연락했습니다. ,주문
3256,지금 방송 중인 상품 신청하려고요.,상품
3257,제가 ㅇㅇ쇼핑 처음 전화를 해서 정보 등록이 안돼있는데 등록 좀 하려고요.,고객정보
3258,그런데 이거 자동 주문으로 좀 돌려주시면 안 될까요?,주문
3259,카드 번호 다 불러야 되죠?,결제
3260,제가 주문 때문에요. 지금 광고 나오는 거 보고 전화했습니다. ,주문
3261,네 방송하고 있는 상품 주문하려고요.,주문
3262,아 그러면 제가 그 분이랑 통화해 보고 전화를 다시 드릴까요?,연락요청
3263,지금 방송하고 있는 거 주문 좀 할게요.,주문
3264,방송하고 있는 바지 주문하려고요.,주문
3265,근데 이백오십 오가 있다고 했거든요?,상품
3266,있어요. 그래서 내가 이백오십 오짜리로 했거든요.,상품
3267,아니 남자 거로 교환해 주면 좋은데.,교환반품
3268,"네, 지금 방송하고 있는 상품 주문 하려 하는데요.",주문
3269,사이즈가 어떻게 되지요?,상품
3270,삼성 카드 무이자 할부 되나요?,결제
3271,"네, 지금 나오는 스쿼트 머신 구매하려고요.",상품
3272,"네, 농협이요. 내일 입금해도 될까요?",결제
3273,그러면 제가 내일 입금하고 나면 물건이 배송 되는 거죠?,배송
3274,상품 주문하려고 하는데요.,주문
3275,뭐 좀 여쭤보려고요. 홈쇼핑 보고 전화드린 건데 이게 윈터 타이어나 사이즈를 선택할 수가 있는 거예요?,상품
3276,"그럼 이런 거 문의하고 그러려면 제가 어떻게 돼요?
",주문
3277,"그럼 그거 좀 해주세요.
",고객정보
3278,네 방송하고 있는 상품 주문하려고요.,주문
3279, 네 이거 저기 상품을 받았는데 반품할려고요. ,교환반품
3280,아 미리 연락 주시고 방문 하시죠?,배송
3281,근데 이게 생물이라 어떻게 포장하면 될까요?,포장
3282,제가 결제한 금액이 얼마죠?,결제
3283,"아 네, 그럼 결제 금액 모두 환불 처리 되는거죠?",환불
3284,제가 경비실에 있던 박스를 열어봤거든요. 사은품도 같이 있었어요.,사은품
3285,그거 언제 오는 거예요? 경비실에 맡겨놓으려고요.,교환반품
3286,상품 박스에 뭐라고 적어야 해요? 종이에다가?,교환반품
3287,그럼 주문 번호 불러주세요. 받아적을게요.,주문
3288,"네, 이거 농협 오프로 해가지고 그렇게 되는 거에요? ",결제
3289,근데 색상이 어떻게 있나요?,상품
3290,"네, 그럼 그냥 같은 색상 블랙으로 교환해 주세요.",교환반품
3291,내일 출고 되는거 맞나요?,상품
3292,그럼 출고 할때 상품 확인 하셔서 좋은 제품으로 보내 주세요.,상품
3293,지금 방송하는 바지 주문하려고 하는데요.,주문
3294,원래 삼십 사이즈 입거든요. 그런데 이건 일체형으로 딱 붙는 거잖아요.,상품
3295,삼십이로 주문해서 입어보고 크면 반품을 어떻게합니까?,교환반품
3296,무료로 반품 수거하시는 거죠? ,교환반품
3297,네 혹시라도 너무 크거나 맞지 않으면 다시 보낼게요.,교환반품
3298,방송 나오는 거 에이 알 에스로 주문하려고 했더니 종류가 네 가지나 돼서 여쭤보려고요.,상품
3299,그러면 주문 좀 해주세요.,주문
3300,근데 이게 스판이어서 한 치수 작은거 사야될까요?,상품
3301,그럼 남자 삼십 이로 주문해 주시겠어요?,상품
3302,입어 보고 작거나하면 교환은 되나요?,교환반품
3303,그러면 둘 다 삼십으로 해주시겠어요?,상품
3304,지금 방송하는 바지 주문하려고요.,주문
3305,네. 지금 방송하는 상품이요. ㅇㅇ쇼핑에 자동 주문으로 했더니 다른 상품이 나와서요?,주문
3306,방송하는 폭립 주문하려고요.,주문
3307,저기 방송했던  아우토반 바지요.,상품
3308, 상품 코드가 ㅇㅇㅇㅇㅇㅇ. ,상품
3309,지금 방송하는 전동공구요.,상품
3310,충전기 용량이 어떻게 되나요?,상품
3311,얼마예요?,가격
3312,그럼 하나 신청해 주세요.,주문
3313, 네 지금 방송 중인 거 주문하려고요.,주문
3314,사업자 번호로 할게요.,결제
3315,방송 중인  공구 때문에  전화했는데요.,상품
3316, 방송 중인 전동공구 주문하려고 하는데요. ,주문
3317,네 주문해 주세요.,주문
3318,지금 방송하는거요.,상품
3319,지금 방송하는 전동공구요.,상품
3320,지금 방송하는거 주문 하려고요.,주문
3321,지금 방송 보다가 주문하려고 전화한 건데요.,주문
3322,네 수고 많으십니다. 지금 방송에 나오는 바지 주문하고싶은데요.,주문
3323,ㅇㅇ쇼핑에 등록하려고 주문하려고요.,고객정보
3324,네 근데 자동 주문한 걸로 해주시면 안 되나요?,주문
3325,어떤 색을 많이 주문합니까?,상품
3326,저기 엊그제 마르조 바지 세 개 방송했는데 혹시 지금 주문 될까요?,주문
3327,방송하는거 주문 좀 하려고요.,주문
3328,지금 방송 나오는 운동 기구 하나 주문하려고요.,주문
3329,카드 할인도 되던데요?,결제
3330,저도 카드 결제하려고요.,결제
3331,몇 개월 무이자 가능한가요?,결제
3332,그럼 무이자 육개월 할부로 해주세요.,결제
3333,그럼 언제 배송된다고요?,배송
3334,결제하려고 카드 번호 눌렀는데 오류가 뜨네요. ,주문
3335,지금 방송하는 제품이요? 가격이 얼마인가요?,가격
3336,모바일하고 여기하고 할인 만원은 동일한가요?,가격
3337,네 알겠어요. 자동 주문으로 해야 되는거죠?,주문
3338,제가 잘못해서요. 여기서 좀 해주세요.,고객정보
3339,네. 농협 카드 없는데 다른 카드로 결제하면 할인이 안돼요?,결제
3340,네. 화이트 말고 레드로 해주세요.,상품
3341,조립하는 건 어렵지 않나요?,상품
3342,반품비가 만 오천 원이요? 반품 기간이 십사 일인 거죠?,교환반품
3343,네 안녕하세요. 지금 방송 나오는 거 주문하려고 하거든요?,주문
3344,네 알겠습니다. 저 이거 조립해야 되는 거예요?,상품
3345,간단한 거예요?,상품
3346,완도 활전복 문의하려고요. ,상품
3347,"자동 주문을 하다가 제대로 주문이 안되었어요, 주문을 어떻게 하죠?",주문
3348,언제 받을 수 있나요?,배송
3349,네 그럼 내일 입금하면요?,배송
3350,네 주문하려고요.,주문
3351,네 지금 주문하려고 했는데요.,주문
3352,네 알겠습니다. 카드로 결제할건데 제 카드는 아닌데 등록할 수 있나요?,결제
3353,등록은 할 수 있는데 제가 등록은 못하는건가요?,결제
3354,그럼 어떻게 해야되는데요?,결제
3355,지금 옷걸이 주문하려고 하는데 신규 가입하라고 해서요.,고객정보
3356,네 안녕하세요 제가 구월 오일에 마스크 주문을 했는데 주소를 잘못 등록했어요. 그런데 구월 십일에 확인해보니까 배송이 완료되어있더라고요. 환불 처리는 어떻게 해야되나요?,환불
3357,배송해주세요. 그리고 배송 완료되면 전화나 문자가 와야되는데 저한테는 안와서요. 한 번 확인해주세요.,배송
3358,네 제가 주문을 했는데 비회원으로 주문을해서 반품 신청이 안되네요.,교환반품
3359,제가 두 개를 먹었는데 기름이 너무 많아서요. 부분 환불이 되나요? 낱개 포장이라 환불이 안되지 않을까요?,환불
3360,바로 입금이 안되나요?,교환반품
3361,그럼 언제쯤 입금 되나요?,교환반품
3362,주문하려고 하는데요.,주문
3363,여기 주얼리 보고 전화 드렸는데요. 이게 여덟개가 한 세트에요?,상품
3364,카드 결제는 무슨 카드로 해야되죠?,결제
3365,씨티카드도 되나요?,결제
3366,그러면 뭐가 있죠?,결제
3367,그러면 삼성카드로 할게요.,결제
3368,전부 십팔케이인가요?,상품
3369,방송 상품 주문하고 싶은데요.,주문
3370,삼일 이면 이번 주에 기사님 오실 수도 있겠네요?,배송
3371,혹시 맞교환은 안되나요?,교환반품
3372,아 반품 가능 하데요?,교환반품
3373,삼일 이면 토요일 인데 배송 하나요?,배송
3374,취소 처리가 너무 오래 걸리네요.,불만접수
3375,환불이 오래 걸려서요. 환불 후에 연락 부탁드릴게요.,환불
3376,지금 방송하는 스쿼트 머신 주문하고요.,주문
3377,어떤 색상이 있었죠?,상품
3378,방송하는 상품 구매하고 싶어요.,주문
3379,지금 방송하고 있는 상품 가격이 얼마죠?,가격
3380,아 그럼 자동 주문으로 다시 바꿔야 돼요?,주문
3381,그럼 일시불로 해주세요.,결제
3382,오배송으로 인한 거니깐 배송비는 무료지요?,배송
3383,기사님께 전달하면서 바로 교환 상품 수령은 안되는 건가요?,교환반품
3384,아 그럼 출고는 언제 되는데요?,상품
3385,"네, 감사합니다. 교환 상품은 얼마나 걸리죠?",배송
3386,죄송한데요. 저희 엄마가 기다리고 계시니 빠른 배송 부탁드려요.,배송
3387,지금 방송중인 귀걸이 주문하고 싶어서요.,주문
3388,수고하십니다. 여기 상품 코드가 ㅇㅇㅇㅇㅇㅇ인데요.,상품
3389,"네, 근데 무료 배송이죠?",배송
3390,지금 방송하고 있는 주얼리 세트 구입하려고 자동 주문 했는데 첫 구매자라고 상담원 연결이 자동으로 되더라고요.,주문
3391,일시불로 해주세요.,결제
3392,지금 방송하는 운동 기구 주문하려고요.,주문
3393,가입이 안돼있다고요?,고객정보
3394,등록해 주세요.,고객정보
3395,지금 나오는 거 블랙으로 주문하려고요.,주문
3396,근데 레드하고 블랙 중 어느 색상이 나아요?,상품
3397,아 그럼 블랙으로 주세요.,상품
3398,네 주문하려고 하는데 제가 ㅇㅇ쇼핑 회원인가요?,고객정보
3399,지금 방송하고 있는 렉스파 스쿼트 머신 주문하려고 하는데 가입을 하고 주문해야 하나요?,고객정보
3400,그냥 결제해 주세요.,결제
3401,방송 보고 주문하려고 전화 드렸는데요.,주문
3402,주문을 해도 뭐 알아보고 해야되는데 본인들 바쁘다고 그렇게 주문 받으려고 그래요?,불만접수
3403,저기 하나 여쭤볼게요. 스쿼드 머신이요 그거 하나로 옆구리 운동까지 다 되는거에요?,상품
3404,그러면 저기 금액이 구만 사천원 이거는 뭐예요?,가격
3405,저는 일시불로 하고 신한카드로 할건데.,결제
3406,네 지금 주문하면 언제쯤 받아볼 수 있어요?,배송
3407,교환 반품이 안된다고요?,교환반품
3408,설치를 했는데하자가 있으면 반품을 해야 되는거 아니에요?,교환반품
3409,나중에 반품하게되면 연락하는 전화번호가 따로 있어요?,교환반품
3410,네 추리닝 주문하려고 하는데요.,주문
3411,아니요. 열흘 전에 카드로 산거요. 또 사려고요.,주문
3412,계좌 번호로 보내드려도 될까요? ,결제
3413,"네, 미리 연락하고 방문 하시죠?",배송
3414,박스 포장해 두면 되는거죠?,포장
3415,아 그런데 제가 반품 신청해 놓은 상태인데 어떻게 되는 거죠?,교환반품
3416,네 주문하려고 하는데요.,주문
3417,가입이 안돼있나요? 저번에 주문했었는데요.,고객정보
3418,현재 방송하는거 주문할게요.,주문
3419,카드 번호가 ㅇㅇㅇㅇ 이에요.,결제
3420,"아 네, 기사님께 상품 전달하면 되는 거죠?",상품
3421,환불 처리 되면 적립금도 다시 환불 되는거죠?,환불
3422,저거 주문 신청하려 그러는데요?,주문
3423,아니요. 필요 없어요. 근데 가격이 어떻게 되나요?,결제
3424,네 지금 제가 가입이 안되어있나요?,고객정보
3425,가입을 해야하나요?,고객정보
3426,네 알겠습니다. 지금 주문하면 되는거죠?,주문
3427,현재 방송중인 상품 하나 주문하려고요.,주문
3428,네 카드로 할게요. 할부는 얼마나 할 수 있죠?,결제
3429,오개월까지 가능하다고 하셨나요?,결제
3430,네 맞습니다. 한가지 더 여쭤봐도 되나요?,주문
3431,배송할 때 전화 연락 좀 부탁한다고 전해주시겠어요?,연락요청
3432,지금 방송하는거 주문하려고요.,주문
3433,제가 전기 면도기를 주문했었는데요.,주문
3434,제가 카드 번호까지 불렀는데 결제가 안된다고 하더라고요.,결제
3435,휴대용 전기면도기 주문하려고요.,주문
3436,네 주문 가능할까요?,주문
3437,"네, 근데 물건 경비실에 맡겨놓을게요.",교환반품
3438, ㅇㅇ쇼핑에 회원 가입 하려고 하는데 약관 동의  체크하는 곳이 없어요.,고객정보
3439,여기 방송하는 거 살려면 회원 가입 안되어 있으면 못 사잖아요?,주문
3440,그러 누르면 보통 회원 가입이라고 나오지 않나요?,고객정보
3441, 완료가 돼있는데 바로 안 되나요?,고객정보
3442, 그럼  이제 아이디 누르고 비밀 번호 누르고 그러면 되겠네요. 주문하면 되나요?,주문
3443,물건을 주문하려고 하는데 처음 주문하는데 카드 등록을 어떻게 해야 되는지 몰라서요.,결제
3444,수량은 두 개요.,주문
3445,지금 방송하는 전복 구입하려고요.,주문
3446,그럼 오늘이 수요일인데 이번 주 금요일까지 배달됩니까?,배송
3447,네 지금 방송하는 전복 구입하려고요.,주문
3448,그럼 다른 카드로 할게요.,결제
3449,네 이거 언제 도착해요?,배송
3450,제가 토요일 날 쓰려고 주문하는 건데.,상품
3451,그래요? 토요일까지 안오면 취소해도 되나요?,취소
3452,네 안녕하세요. 제 번호가 여기 가입이 안 된 거 같은데 회원 가입 좀 해주시겠습니까?,고객정보
3453,네 주셔도 돼요. 지금 방송 상품 주문 좀 할게요.,주문
3454,네 알겠습니다. 배송받고 어떻게 보관해야 돼요? 바로 냉동실로 들어가야 되냐요?,배송
3455,파리바게뜨 빵 준다고 했는데 어떻게 받는 거예요?,사은품
3456,지금 방송하고 있는 완도 활전복이요.,주문
3457,네 동의합니다. 그런데 체크 카드로 구매 가능한가요?,결제
3458,그거 취소됐다고 하네요.,결제
3459,결제가 됐다가 취소가 됐네요.,결제
3460,혹시 맞교환은 안되나요?,교환반품
3461,받은 그대로 포장해서 보내면 되는거죠?,포장
3462,아 그럼 이번 주에 수령 할 수 있겠네요?,배송
3463,아 네 왔어요.,배송
3464,아 결제 완료된 건가요?,결제
3465,아 그러면 이번 주에는 받을 수 있을까요?,배송
3466,토요일도 배송 하나요?,배송
3467,"아 네, 알겠습니다. 택배사는 어디죠?",배송
3468,접수하려면 고객 센터에 전화해야 하나요?,교환반품
3469,네. 저기 나머지는 어떻게 할까요?,상품
3470,네 알겠습니다. 근데 이 상품은 어떻게 해요?,배송
3471,네. 지금 저거 잠바 좀 시키려고 그러는데요. ,상품
3472,네 알겠습니다. 그럼 제가 카드 결제했는데 취소가 바로 되는 건가요?,취소
3473,제가 신용 카드가 아니라 제가 체크 카드로 결제했거든요 그럼 바로 제 통장으로 들어오는 건가요?,환불
3474,아. 네. 여기 홈쇼핑은 처음이네요. 상품 주문하려구요.,주문
3475,어. 자동 주문 해도 되죠?,주문
3476,예 지금 티비에 나오는 거를 보고 있거든요.,상품
3477,아 그게 십일만 이천원짜리하고 십일만 구천원짜리가 있는데 차이가 뭐예요?,가격
3478,네. 갈비탕 신청하려고요. 방송 나오는 거.,주문
3479,몇 개월까지 됩니까?,결제
3480,네. 그러면 무이자 삼개월 할부로 해주세요.,결제
3481,네 저기 방송하는 거 주문할려고 그러거든요.,주문
3482,세 팩에 만 육천 삼백육십 원이라는게 말이 안되잖아요.,불만접수
3483,제가 여러 사람들을 지나다 보니까 연결이 안됐던 것 같다고 나머지 금액을 입금해 주겠다고 하더라고요.,환불
3484,이천삼십 원만 넣으면 되는 거를 만 육천삼백육십 원을 넣게 만드셨네요.,불만접수
3485,네. 방송하고 있는거 주문하려고요.,주문
3486,몇 개월까지 가능해요?,결제
3487,네. 지금 나오는 소갈비탕 좀 주문하려고요.,주문
3488,네 주문 좀 하려고 그러는데요.,주문
3489,아 얼마라고요?,가격
3490,아니 무이자 몇 개월되는지 좀 알려주세요.,결제
3491,아 그런데 주문 한 번만 한 거 맞죠?,주문
3492,네. 지금 패딩 세트 주문하려구요.,상품
3493,네. 맞아요. 근데 그거 오만 오천팔백육십 원 아닌가요?,가격
3494,그럼 오 만원 이상 결제 시 초특가라고 광고하는 게 이건 가요?,가격
3495,아. 그럼 결제 금액이 다르면 얘기를 해야합니까?,결제
3496,카드 정보요?,결제
3497,자동 주문하다가 잘못됐다고 여기로 연결됐어요.,주문
3498,신용 카드만 할인되는 거에요? 저는 없는데요.,결제
3499,이제 전화 준 거예요. 전화 안 오길래 제가 지금.,불만접수
3500,일단 반품은 되는거죠?,교환반품
3501,"계좌 번호 불러드릴게요. 대구은행, ㅇㅇㅇ ㅇㅇㅇㅇ ㅇㅇㅇㅇㅇ이요.",환불
3502,네 알겠습니다. 결제 금액으로 환불되는 거죠?,환불
3503,이건 어떻게 보내요?,교환반품
3504,아 그럼 이 내용 문자로 넣어주세요.,교환반품
3505,네. 안녕하세요. 티브이 보고 있는데요. ,상품
3506,제가 어떤 거는 팔팔이 조금 크고 어떤 거는 칠칠이 너무 딱 맞는데 어떻게 해야 되죠?,상품
3507,그럼 이거 자동 주문으로 해주신는 거죠?,주문
3508,만약에 이거 작거나 그러면 어떻게 교환을 해야 돼요?,교환반품
3509,저기요. 잠시만요. 여기 지금 티브이에 나오는 거는 오만 오천팔백육십 원으로 나오는데요?,가격
3510,어제 예약했는데 오늘 전화 온 거예요?,불만접수
3511,"네, 사이즈가 궁금해서 전화한 건데요?",상품
3512,보통 삼십일을 샀는데 어떤 때는 옷이 작아서 제가 삼십사로 주문했거든요? 삼십사로 했는데 괜찮을까?,상품
3513,만약에 상품 받고 입어보고 크면 교환해도 돼요?,교환반품
3514,그러면은 택배비 같은 건 어떻게 돼요?,교환반품
3515,반품으로 해주세요. 물도 새고요.,교환반품
3516,충분히 예열을 했는데도 물이 똑똑 떨어진다고요.,불만접수
3517,그럼 일단 교환해 줘보세요.,교환반품
3518,네. 지금 옷 나오잖아요. ,상품
3519,근데 저 옷 막 털이 빠지고 그런건 아닌가요?,상품
3520,이 비슷한 잠바가 두 개 있는데 어떤 건 빠지고 어떤 건 안 빠지고 그러더라고요. ,상품
3521,네. 그런데 그 사이즈 정 사이즈로 나온 거 맞나요?,상품
3522,숀리 올인원 스쿼트 머신 주문하려고 하는데요.,주문
3523,방송 중에 가격은 십 이만원대 나오는데요. ,가격
3524,지금은 얼마인가요?,결제
3525,방송에 나오는거랑 다르네요.,결제
3526,그럼 카드로 하면 얼마라구요?,결제
3527,저 롯데 카드인데요.,결제
3528,여보세요. 방송에 나오는 거요. ,상품
3529,저기 근데 농협 앤 에이치 카드로 결제하면 오 퍼센트 청구 할인 되는 거 맞아요?,결제
3530,예 저기 저 방송 나오는 거요. ,상품
3531,네 방송 중인 거 주문할려고요.,주문
3532,얼마요?,결제
3533,아니 있잖아요. 그 모바일로 주문해야 십일만 이천원인가요?,가격
3534,언제 배달되죠?,배송
3535,아 예 지금 방송 나오는 거 주문할려고요.,주문
3536,그 삼일 이내에 온다고요?,배송
3537,네. 지금 방송하고 있는 거요. ,상품
3538,네. 안녕하세요. 지금 방송 중인 거 있죠?,상품
3539,"주문 번호 좀 불러주시겠어요?
",주문
3540,"우선은?담당자분이?아직?출근 전이셔서요.?출근하시면 내용 전달하고?전화드리도록?할게요.
",연락요청
3541,그럼 기존에 주문한 거 취소해 주시고 제가 농협카드로 다시 해도 될까요?,주문
3542,교환 요청하면 언제 받을 수 있나요?,교환반품
3543,삼 사일이면 다음 주에 받는 거잖아요?,배송
3544,그럼 반품은 안되나요?,교환반품
3545,기사님께 상품 전달해 드리면 되는거죠?,상품
3546,아 일 개월간 보관해야 하나요?,배송
3547,카드 취소 되면 확인 문자  오죠?,결제
3548,반품 처리가아직 안 된 거예요?,교환반품
3549,"다른 박스라도?상관없나요?
",포장
3550,왜 이거를 제대로 안하고 성가시게 합니까?,불만접수
3551,무이자 할부 가능하지요?,결제
3552,그런데 방송에서는 무이자 할부 된다고하던것 같던데.,결제
3553,그런데 방송에서는 롯데 카드는 안된다는 그런 말이 없었는데요.,결제
3554,그러면 일시불로 해주세요.,결제
3555,"그럼 착용?안 한 건?어떻게 반품이 안 되나요?
",교환반품
3556,"네, 근데 언제쯤 오나요?",교환반품
3557,"다른 쇼핑은 바로 취소가 됐는데 여기는 너무 불편하네요.
",불만접수
3558,"아 네, 알겠어요. 지금 처리해 주세요.",교환반품
3559,환불 되면 문자로 연락오죠?,환불
3560,네 주문하려고요.,주문
3561,제품을 해봐야 제품에 뭐가 문제인지 알지 개봉 안 하면 어떻게 아나요? ,상품
3562,아 기사님께 상품 전달해 드리면 되죠?,상품
3563,혹시 맞교환은 안되나요?,교환반품
3564,"너무 오래 걸리네요, 빠른 배송 부탁 드릴께요.",배송
3565,"입금하고 연락을 해야 됩니까?
",연락요청
3566,"네, 저기 상품을 잘 확인해 본 다음에 보내주지 왜 이렇게 번거롭게 하는지 모르겠네요.",불만접수
3567,세개짜리 그거 있죠?,주문
3568,지금 주문할 수 있어요?,주문
3569,저희 동생하고 택배 기사님하고 통화를 했는데 오늘 중으로 갖다준다고는 했는데 제가 확인을 못해봤어요.,배송
3570,근데 이런 식으로 하면 안되지 않나요?,불만접수
3571,거기가 큰 동네도 아니고 동생이 택배를 어쩌다 시키는 것도 아닌데 이번에는 좀 심하네요.,배송
3572,근데 그 배송 기사님한테 주소를 말씀드렸더니 바로 잘못 배송한 것 같다고 말씀하시더라고요. 그때까지 배송 안 한 거라니까요.,배송
3573,방문 일정이 삼일 정도 걸린단 거죠?,배송
3574,그럼 박스에 넣어 포장해 놓으면 되죠?,포장
3575,"네, 안녕하세요. 제가 지금 랍스터 주문하고 싶은데 카드가 등록되어 있는지 몰라서요.",결제
3576,거기가 ㅇㅇ쇼핑인가요?,고객정보
3577,"네, 그럼 등록해주세요.",고객정보
3578,ㅇㅇㅇ 변기 클리너 핸들 두 개에 리필 두 개인 상품 여덟 개 중에서 여덟 개가 누락되어 상품 수령하셨대요.  그래서  추가 발송이 가능한지 해서 연락드렸습니다 ,배송
3579, 여덟 개짜리 두 팩인 건가요? ,상품
3580,아 네 그런 거군요. 받은 게 총 스물네 개예요.,배송
3581,네 제가 주문한 아이보리가 없다고 해서요.,취소
3582,언제쯤 다시 생산되나요?,상품
3583,사일이면 이번 주에 오시겠네요?,배송
3584,교환 기간이 얼마인가요?,교환반품
3585,제가 결제한 카드가 국민 카드 맞나요?,결제
3586,카드 취소 되면 문자로 연락오죠?,결제
3587,네 제가 바지를 샀는데 사이즈가 너무 커서 한 사이즈 작은 거로 교환 가능할까요?,교환반품
3588,지금 와서 한번 입어봤는데 너무 커서 입을 수가 없어요.,상품
3589,배송이나 회수하시러 오시기전에 연락 부탁드립니다.,연락요청
3590,네 지금 방송 나오는 거 주문 좀 할려구요.,주문
3591,죄송한데 그냥 저한테 보내주세요. 아까 불러드린 주소로요.,배송
3592,이거 아까 식품이라서 취소가 안 된다는 거예요?,취소
3593,아 그럼 이거 만약에 배송되기 전에 취소하면 취소돼요?,취소
3594,아 그러면 이거 냉동해서 오는 건가요?,배송
3595,"네, 여보세요. 상품 주문 좀 하려고 하는데요.",주문
3596,농협카드로요?,결제
3597, 주문 번호 불러주세요.,주문
3598, 다시 불러볼게요. ㅇㅇㅇㅇㅇㅇ,주문
3599,"네, 고객님 성함은요?",고객정보
3600,네. 지금 방송 나오는 거 주문하려고요.,주문
3601,블랙도 괜찮은데 알아서 보내주세요.,상품
3602,"음, 레드 할게요.",상품
3603,네. 그런데 거기에 등록된 카드 재발급 받아서 다시 등록해야 될 거에요.,결제
3604, 뭐 그렇게 해야 되죠. 돈도 다 넣었는데 이제 와서 이러면  어떻게 해요?,불만접수
3605,아 미리 연락 주시고 오시는 거죠?,배송
3606,사은품으로 받은 것도 다 보내야 하는거죠?,상품
3607,오일이나 걸리나요?,결제
3608,여보세요? 카드 번호가 ㅇㅇㅇㅇ 이네요.,결제
3609,방송에서 봤을때는 화면이 선명해보였는데 막상 받아보니 전체적으로 어둡네요.,교환반품
3610,사용 안 했어요. 그냥 반품 하려고요.,교환반품
3611,네. 지금 선전하는 거요. 운동기구 주문하고 싶어서요.,주문
3612,카드 번호 인증 번호 다 가지고 있어요. 카드사에서 인증 번호까지 보는데 확인이 안되니까?,결제
3613,예 오늘 한시쯤이요. 어떻게 된 겁니까?,결제
3614,그때 교환처리를 해줬어야죠.,불만접수
3615,그래서 교환이 안된다는 말씀이신 거요?,환불
3616,내가 몇 번을 다시 연락을 해야 하고 골치가 아프네요. ,불만접수
3617,내가 반품할 수는 있지만 지금 쿠폰 때문에 교환하려고 하는 거잖아요.,교환반품
3618,그럼 ㅇㅇ쇼핑은 상관없고 쿠팡에 연락하란 말이잖아요.,불만접수
3619,그럼 원래 반품도 안되는 거예요?,교환반품
3620,아니 다른 홈쇼핑은 보름이거든요? 제가 눈 수술한다고 병원에 왔다 갔다 한다고 시간이 없어가지고. 택배비 꼭 부담해야 하나요?,배송
3621,네 알겠습니다. 택배비 오천 원 보낼 테니 교환해 주세요.,교환반품
